# id1,id2,weight
ed1e53f3,5eecec3d,1
ed1e53f3,51cf8561,2
ed1e53f3,101da2b5,2
ed1e53f3,eaeca114,1
b400bde0,b0b4fd3e,1
b400bde0,b66315ae,5
b400bde0,819b3158,5
b400bde0,86dd77d1,4
b400bde0,892d5bb1,4
b400bde0,5eecec3d,6
b400bde0,51cf8561,4
b400bde0,101da2b5,4
b400bde0,eaeca114,1
b0b4fd3e,b66315ae,1
b0b4fd3e,819b3158,1
b0b4fd3e,86dd77d1,1
b0b4fd3e,892d5bb1,1
b0b4fd3e,5eecec3d,1
b0b4fd3e,51cf8561,1
b0b4fd3e,101da2b5,1
b0b4fd3e,eaeca114,1
b66315ae,819b3158,3
b66315ae,86dd77d1,2
b66315ae,892d5bb1,2
b66315ae,5eecec3d,4
b66315ae,51cf8561,3
b66315ae,101da2b5,2
b66315ae,eaeca114,1
819b3158,86dd77d1,2
819b3158,892d5bb1,4
819b3158,5eecec3d,4
819b3158,51cf8561,4
819b3158,101da2b5,2
819b3158,eaeca114,1
86dd77d1,892d5bb1,3
86dd77d1,5eecec3d,5
86dd77d1,51cf8561,4
86dd77d1,101da2b5,4
86dd77d1,eaeca114,1
892d5bb1,5eecec3d,3
892d5bb1,51cf8561,4
892d5bb1,101da2b5,2
892d5bb1,eaeca114,1
5eecec3d,51cf8561,3
5eecec3d,101da2b5,2
5eecec3d,eaeca114,1
51cf8561,101da2b5,2
51cf8561,eaeca114,1
101da2b5,eaeca114,1
7a2e46a8,e06683ca,2
7a2e46a8,cd1acf9d,2
7a2e46a8,c691bfe2,3
7a2e46a8,b217ef29,2
7a2e46a8,e342ad68,2
7a2e46a8,935e6b8f,4
7a2e46a8,2e4f5f03,2
7a2e46a8,178ae8f8,2
7a2e46a8,7f3b388c,4
7a2e46a8,77e84962,2
7a2e46a8,f25c8e3a,3
7a2e46a8,5ed9b537,1
7a2e46a8,4a1a9578,1
7a2e46a8,4c370d81,3
7a2e46a8,4fb9c88f,2
7a2e46a8,f315ca93,1
7a2e46a8,2f90f6b8,4
7a2e46a8,38c7feef,3
7a2e46a8,f833a830,1
e06683ca,cd1acf9d,3
e06683ca,c691bfe2,4
e06683ca,b217ef29,2
e06683ca,e342ad68,3
e06683ca,935e6b8f,3
e06683ca,2e4f5f03,3
e06683ca,178ae8f8,1
e06683ca,7f3b388c,3
e06683ca,77e84962,1
e06683ca,f25c8e3a,3
e06683ca,5ed9b537,1
e06683ca,4a1a9578,1
e06683ca,4c370d81,3
e06683ca,4fb9c88f,1
e06683ca,f315ca93,1
e06683ca,2f90f6b8,3
e06683ca,38c7feef,2
e06683ca,f833a830,1
cd1acf9d,c691bfe2,3
cd1acf9d,b217ef29,2
cd1acf9d,e342ad68,2
cd1acf9d,935e6b8f,4
cd1acf9d,2e4f5f03,2
cd1acf9d,178ae8f8,2
cd1acf9d,7f3b388c,4
cd1acf9d,77e84962,2
cd1acf9d,f25c8e3a,3
cd1acf9d,5ed9b537,1
cd1acf9d,4a1a9578,1
cd1acf9d,4c370d81,3
cd1acf9d,4fb9c88f,2
cd1acf9d,f315ca93,1
cd1acf9d,2f90f6b8,5
cd1acf9d,38c7feef,4
cd1acf9d,f833a830,1
c691bfe2,b217ef29,3
c691bfe2,e342ad68,1
c691bfe2,935e6b8f,6
c691bfe2,2e4f5f03,2
c691bfe2,178ae8f8,2
c691bfe2,7f3b388c,4
c691bfe2,77e84962,2
c691bfe2,f25c8e3a,3
c691bfe2,5ed9b537,1
c691bfe2,4a1a9578,1
c691bfe2,4c370d81,2
c691bfe2,4fb9c88f,2
c691bfe2,f315ca93,1
c691bfe2,2f90f6b8,5
c691bfe2,38c7feef,4
c691bfe2,f833a830,1
