# id1,id2,weight
45a03961,d781d855,3
45a03961,e33c06cf,2
45a03961,cc86b9a3,3
45a03961,042e8a49,2
45a03961,2c0558b8,2
45a03961,e280527c,1
45a03961,652d4c37,3
45a03961,7ed08d5c,1
45a03961,5853ac44,1
45a03961,f9b1b7bf,1
45a03961,0e6bc38c,2
2b114be3,d781d855,1
2b114be3,e33c06cf,2
2b114be3,cc86b9a3,3
2b114be3,042e8a49,1
2b114be3,2c0558b8,2
2b114be3,e280527c,1
2b114be3,652d4c37,2
2b114be3,7ed08d5c,1
2b114be3,5853ac44,1
2b114be3,f9b1b7bf,1
2b114be3,0e6bc38c,3
d781d855,e33c06cf,2
d781d855,cc86b9a3,3
d781d855,042e8a49,2
d781d855,2c0558b8,2
d781d855,e280527c,1
d781d855,652d4c37,3
d781d855,7ed08d5c,1
d781d855,5853ac44,1
d781d855,f9b1b7bf,1
d781d855,0e6bc38c,2
e33c06cf,cc86b9a3,2
e33c06cf,042e8a49,3
e33c06cf,2c0558b8,2
e33c06cf,e280527c,1
e33c06cf,652d4c37,3
e33c06cf,7ed08d5c,1
e33c06cf,5853ac44,1
e33c06cf,f9b1b7bf,1
e33c06cf,0e6bc38c,2
cc86b9a3,042e8a49,3
cc86b9a3,2c0558b8,2
cc86b9a3,e280527c,1
cc86b9a3,652d4c37,3
cc86b9a3,7ed08d5c,1
cc86b9a3,5853ac44,1
cc86b9a3,f9b1b7bf,1
cc86b9a3,0e6bc38c,4
042e8a49,2c0558b8,2
042e8a49,e280527c,1
042e8a49,652d4c37,3
042e8a49,7ed08d5c,1
042e8a49,5853ac44,1
042e8a49,f9b1b7bf,1
042e8a49,0e6bc38c,2
2c0558b8,e280527c,1
2c0558b8,652d4c37,2
2c0558b8,7ed08d5c,1
2c0558b8,5853ac44,1
2c0558b8,f9b1b7bf,1
2c0558b8,0e6bc38c,1
e280527c,652d4c37,1
e280527c,7ed08d5c,1
e280527c,5853ac44,1
e280527c,f9b1b7bf,1
e280527c,0e6bc38c,1
652d4c37,7ed08d5c,1
652d4c37,5853ac44,1
652d4c37,f9b1b7bf,1
652d4c37,0e6bc38c,1
7ed08d5c,5853ac44,1
